train dataset: size=1
val dataset: size=1
model_G: #params=113.6M
epoch 59/300, lr_G=0.000010, loss0=0.0289, loss1=0.0256, 2.5s 2.8m/14.1m
epoch 60/300, lr_G=0.000010, loss0=0.0612, loss1=0.0776, val: psnr0=10.7458, val: psnr1=11.7634, 4.3s 2.8m/14.2m
epoch 61/300, lr_G=0.000010, loss0=0.0928, loss1=0.1124, 2.5s 2.9m/14.2m
epoch 62/300, lr_G=0.000010, loss0=0.0831, loss1=0.0908, 2.7s 2.9m/14.2m
epoch 63/300, lr_G=0.000010, loss0=0.0812, loss1=0.1177, 2.6s 3.0m/14.1m
epoch 64/300, lr_G=0.000010, loss0=0.0305, loss1=0.0304, 2.7s 3.0m/14.1m
epoch 65/300, lr_G=0.000010, loss0=0.0950, loss1=0.1471, 2.9s 3.1m/14.1m
epoch 66/300, lr_G=0.000010, loss0=0.0874, loss1=0.1128, 3.2s 3.1m/14.2m
epoch 67/300, lr_G=0.000010, loss0=0.0744, loss1=0.1346, 2.9s 3.2m/14.2m
epoch 68/300, lr_G=0.000010, loss0=0.0343, loss1=0.0409, 3.1s 3.2m/14.2m
epoch 69/300, lr_G=0.000010, loss0=0.0864, loss1=0.0988, 2.9s 3.3m/14.2m
epoch 70/300, lr_G=0.000010, loss0=0.0768, loss1=0.1154, val: psnr0=16.4860, val: psnr1=13.0395, 4.8s 3.3m/14.3m
epoch 71/300, lr_G=0.000010, loss0=0.0119, loss1=0.0119, 2.9s 3.4m/14.3m
epoch 72/300, lr_G=0.000010, loss0=0.0287, loss1=0.0328, 2.6s 3.4m/14.3m
epoch 73/300, lr_G=0.000010, loss0=0.0916, loss1=0.1305, 2.6s 3.5m/14.3m
epoch 74/300, lr_G=0.000010, loss0=0.0711, loss1=0.1085, 2.5s 3.5m/14.3m
epoch 75/300, lr_G=0.000010, loss0=0.0076, loss1=0.0073, 2.6s 3.6m/14.3m
epoch 76/300, lr_G=0.000010, loss0=0.0180, loss1=0.0195, 2.5s 3.6m/14.2m
epoch 77/300, lr_G=0.000010, loss0=0.0769, loss1=0.1996, 2.6s 3.6m/14.2m
epoch 78/300, lr_G=0.000010, loss0=0.0930, loss1=0.1201, 2.6s 3.7m/14.2m
epoch 79/300, lr_G=0.000010, loss0=0.0812, loss1=0.1119, 2.6s 3.7m/14.2m
epoch 80/300, lr_G=0.000010, loss0=0.0555, loss1=0.0739, val: psnr0=38.2182, val: psnr1=36.1725, 5.8s 3.8m/14.4m
epoch 81/300, lr_G=0.000010, loss0=0.1020, loss1=0.1275, 2.6s 3.9m/14.4m
epoch 82/300, lr_G=0.000010, loss0=0.0983, loss1=0.1174, 2.6s 3.9m/14.3m
epoch 83/300, lr_G=0.000010, loss0=0.1109, loss1=0.1249, 1.5s 3.9m/14.3m
epoch 84/300, lr_G=0.000010, loss0=0.0554, loss1=0.0635, 2.5s 4.0m/14.2m
epoch 85/300, lr_G=0.000010, loss0=0.0480, loss1=0.1010, 2.6s 4.0m/14.2m
epoch 86/300, lr_G=0.000010, loss0=0.0619, loss1=0.1015, 2.6s 4.1m/14.2m
epoch 87/300, lr_G=0.000010, loss0=0.0313, loss1=0.0323, 2.5s 4.1m/14.2m
epoch 88/300, lr_G=0.000010, loss0=0.0512, loss1=0.0370, 2.6s 4.2m/14.2m
epoch 89/300, lr_G=0.000010, loss0=0.0552, loss1=0.1113, 2.6s 4.2m/14.2m
epoch 90/300, lr_G=0.000010, loss0=0.0522, loss1=0.0805, val: psnr0=15.6897, val: psnr1=17.8900, 5.5s 4.3m/14.3m
epoch 91/300, lr_G=0.000010, loss0=0.0912, loss1=0.1295, 3.3s 4.3m/14.3m
epoch 92/300, lr_G=0.000010, loss0=0.0949, loss1=0.1177, 3.1s 4.4m/14.3m
epoch 93/300, lr_G=0.000010, loss0=0.0569, loss1=0.0579, 3.1s 4.5m/14.4m
epoch 94/300, lr_G=0.000010, loss0=0.0370, loss1=0.0419, 3.1s 4.5m/14.4m
epoch 95/300, lr_G=0.000010, loss0=0.0888, loss1=0.1017, 3.2s 4.6m/14.4m
epoch 96/300, lr_G=0.000010, loss0=0.0714, loss1=0.0972, 2.9s 4.6m/14.4m
epoch 97/300, lr_G=0.000010, loss0=0.0617, loss1=0.0825, 3.0s 4.7m/14.4m
epoch 98/300, lr_G=0.000010, loss0=0.0789, loss1=0.1093, 3.2s 4.7m/14.4m
epoch 99/300, lr_G=0.000010, loss0=0.0725, loss1=0.1151, 3.4s 4.8m/14.4m
epoch 100/300, lr_G=0.000010, loss0=0.0730, loss1=0.0838, val: psnr0=16.4839, val: psnr1=18.6142, 5.2s 4.8m/14.5m
epoch 101/300, lr_G=0.000010, loss0=0.0789, loss1=0.1093, 3.1s 4.9m/14.6m
epoch 102/300, lr_G=0.000010, loss0=0.0693, loss1=0.0971, 2.7s 4.9m/14.5m
epoch 103/300, lr_G=0.000010, loss0=0.0818, loss1=0.1033, 2.5s 5.0m/14.5m
epoch 104/300, lr_G=0.000010, loss0=0.0472, loss1=0.0716, 2.5s 5.0m/14.5m
epoch 105/300, lr_G=0.000010, loss0=0.0109, loss1=0.0109, 2.6s 5.1m/14.5m
epoch 106/300, lr_G=0.000010, loss0=0.0798, loss1=0.1198, 2.7s 5.1m/14.5m
epoch 107/300, lr_G=0.000010, loss0=0.0880, loss1=0.1290, 2.6s 5.2m/14.5m
epoch 108/300, lr_G=0.000010, loss0=0.1049, loss1=0.0964, 2.5s 5.2m/14.5m
epoch 109/300, lr_G=0.000010, loss0=0.0552, loss1=0.0892, 2.5s 5.2m/14.4m
epoch 110/300, lr_G=0.000010, loss0=0.0292, loss1=0.0406, val: psnr0=17.7667, val: psnr1=19.4370, 4.4s 5.3m/14.5m
epoch 111/300, lr_G=0.000010, loss0=0.0804, loss1=0.1006, 2.6s 5.4m/14.5m
epoch 112/300, lr_G=0.000010, loss0=0.0372, loss1=0.0438, 3.2s 5.4m/14.5m
epoch 113/300, lr_G=0.000010, loss0=0.0847, loss1=0.0993, 2.6s 5.5m/14.5m
epoch 114/300, lr_G=0.000010, loss0=0.0817, loss1=0.1131, 2.6s 5.5m/14.5m
epoch 115/300, lr_G=0.000010, loss0=0.0896, loss1=0.1253, 2.5s 5.5m/14.5m
epoch 116/300, lr_G=0.000010, loss0=0.0790, loss1=0.0839, 2.5s 5.6m/14.4m
epoch 117/300, lr_G=0.000010, loss0=0.0590, loss1=0.0575, 2.6s 5.6m/14.4m
epoch 118/300, lr_G=0.000010, loss0=0.1150, loss1=0.1300, 2.6s 5.7m/14.4m
epoch 119/300, lr_G=0.000010, loss0=0.0531, loss1=0.1587, 2.5s 5.7m/14.4m
epoch 120/300, lr_G=0.000010, loss0=0.0683, loss1=0.1049, val: psnr0=19.9424, val: psnr1=14.8609, 4.3s 5.8m/14.5m
epoch 121/300, lr_G=0.000010, loss0=0.0902, loss1=0.0935, 2.6s 5.8m/14.5m
epoch 122/300, lr_G=0.000010, loss0=0.1104, loss1=0.1538, 3.0s 5.9m/14.5m
